id_event,adsress,date
65,"Long Beach Township, NJ, USA",2013-04-14 00:00:00+00:00
66,"Long Branch, NJ 07740, USA",2015-09-03 00:00:00+00:00
67,"Greeley, CO, USA",2001-04-08 00:00:00+00:00
68,"Fayetteville, AR, USA",2013-05-26 00:00:00+00:00
69,"Unclear, Cape Town, 7530, South Africa",2016-02-05 00:00:00+00:00
70,"Greeley, CO, USA",2010-09-07 00:00:00+00:00
71,"Nashville, IL 62263, USA",2015-08-01 00:00:00+00:00
72,"Pomona, CA, USA",2014-01-12 00:00:00+00:00
73,"Sacramento, CA, USA",2015-06-09 00:00:00+00:00
74,"Greenwood, MS, USA",2015-07-26 00:00:00+00:00
75,"Hartford, VT, USA",2012-03-22 00:00:00+00:00
76,"Bolingbrook, IL, USA",2015-11-02 00:00:00+00:00
77,"Philadelphia, PA, USA",2015-10-10 00:00:00+00:00
78,"Milwaukie, OR, USA",2015-08-06 00:00:00+00:00
79,"Chicago, IL, USA",2012-10-06 00:00:00+00:00
80,"Philadelphia, PA, USA",2015-05-02 00:00:00+00:00
81,"Gramercy Park, Los Angeles, CA 90018, USA",2000-01-19 00:00:00+00:00
82,"Dearborn, MI, USA",2013-11-12 00:00:00+00:00
83,"Lancaster, PA, USA",2016-02-14 00:00:00+00:00
84,"Lancaster St, The Hague, Cape Town, 7100, South Africa",2015-03-20 00:00:00+00:00
85,"Ford St, Eikenbosch, Cape Town, 7530, South Africa",2014-02-04 00:00:00+00:00
86,"York, PA, USA",2016-02-11 00:00:00+00:00
87,"Bridgeport, WV 26330, USA",2014-05-07 00:00:00+00:00
88,"Greeley, CO, USA",2003-04-12 00:00:00+00:00
89,"Greeley, CO, USA",2001-07-21 00:00:00+00:00
90,"Ventura, CA, USA",2013-07-31 00:00:00+00:00
91,"Staten Island, NY, USA",2015-10-07 00:00:00+00:00
92,"Los Angeles, CA, USA",2014-04-24 00:00:00+00:00
93,"Unclear, Cape Town, 7550, South Africa",2016-02-02 00:00:00+00:00
94,"Bronx, NY, USA",2014-02-04 00:00:00+00:00
95,"Silver Lake, Los Angeles, CA, USA",2008-11-22 00:00:00+00:00
96,"Pomona, CA, USA",2012-05-15 00:00:00+00:00
97,"Augusta, GA, USA",2013-10-18 00:00:00+00:00
98,"Campbelltown NSW 2560, Australia",2015-08-03 00:00:00+00:00
99,"Abingdon, MD, USA",2016-02-10 00:00:00+00:00
100,"Baytown, TX, USA",2015-07-21 00:00:00+00:00
101,"Baltimore, MD, USA",2014-01-19 00:00:00+00:00
102,"Baltimore, MD, USA",2014-02-03 00:00:00+00:00
103,"Wilmington, Los Angeles, CA, USA",2015-12-27 00:00:00+00:00
104,"Chicago Cl, Cape Town, 7784, South Africa",2015-08-02 00:00:00+00:00
105,"Greeley, CO, USA",2011-11-28 00:00:00+00:00
106,"Germantown, TN, USA",2015-12-23 00:00:00+00:00
107,"Lake Los Angeles, CA, USA",2000-05-13 00:00:00+00:00
108,"Bridgeport, WV 26330, USA",2015-07-29 00:00:00+00:00
109,"Austin Cres, Beacon Valley, Cape Town, 7785, South Africa",2015-08-03 00:00:00+00:00
110,"Cherryville, NC 28021, USA",2015-08-10 00:00:00+00:00
111,"Bensalem, PA 19020, USA",2016-01-27 00:00:00+00:00
112,"Greeley, CO, USA",2002-05-19 00:00:00+00:00
113,"Greeley, CO, USA",2015-04-24 00:00:00+00:00
114,"Greeley, CO, USA",2014-12-11 00:00:00+00:00
115,"Bloomington, IL, USA",2015-09-05 00:00:00+00:00
116,"Ceres, CA, USA",2016-01-26 00:00:00+00:00
117,"San Jose, CA, USA",2015-11-02 00:00:00+00:00
118,"Greeley, CO, USA",2015-03-12 00:00:00+00:00
119,"Wichita, KS, USA",2016-03-31 00:00:00+00:00
120,"Ste. Genevieve, MO 63670, USA",2014-12-05 00:00:00+00:00
121,"Greeley, CO, USA",2015-12-17 00:00:00+00:00
122,"Greeley, CO, USA",2015-10-02 00:00:00+00:00
123,"Unclear, Cape Town, 7550, South Africa",2011-05-18 00:00:00+00:00
124,"Killeen, TX, USA",2015-11-13 00:00:00+00:00
125,"Chicago Cl, Cape Town, 7784, South Africa",2015-10-31 00:00:00+00:00
126,"Hattiesburg, MS, USA",2015-08-01 00:00:00+00:00
127,"New York, NY, USA",2015-10-26 00:00:00+00:00
128,"Billings, MT, USA",2014-09-09 00:00:00+00:00
129,"Marion Cres, Ravensmead, Cape Town, 7504, South Africa",2016-01-03 00:00:00+00:00
130,"Des Moines, IA, USA",2015-11-30 00:00:00+00:00
131,"Houston, TX, USA",2015-04-02 00:00:00+00:00
132,"Durham, NC, USA",2016-01-29 00:00:00+00:00
133,"San Jose, CA, USA",2016-02-12 00:00:00+00:00
134,"Atlanta, GA, USA",2015-08-02 00:00:00+00:00
135,"Greeley, CO, USA",2003-02-14 00:00:00+00:00
136,"Glendale, AZ, USA",2016-03-12 00:00:00+00:00
137,"Lancaster St, The Hague, Cape Town, 7100, South Africa",2010-08-16 00:00:00+00:00
138,"Memphis, IN 47143, USA",2015-08-01 00:00:00+00:00
139,"Aurora St, Cape Town, 7550, South Africa",2015-11-06 00:00:00+00:00
140,"Durham, NC, USA",2016-02-13 00:00:00+00:00
141,"Myrtle Beach, SC, USA",2015-08-28 00:00:00+00:00
142,"Wilmington, Los Angeles, CA, USA",2010-10-18 00:00:00+00:00
143,"Grove St, Cape Town, 7580, South Africa",2015-10-01 00:00:00+00:00
144,"Florence, SC, USA",2016-01-26 00:00:00+00:00
145,"Springfield, IL, USA",2015-07-23 00:00:00+00:00
146,"Louisville, KY, USA",2015-11-25 00:00:00+00:00
147,"Pico Rivera, CA, USA",2004-01-21 00:00:00+00:00
148,"Queens Ave, The Wines, Cape Town, 7784, South Africa",2014-08-16 00:00:00+00:00
149,"Chicago, IL, USA",2014-02-18 00:00:00+00:00
150,"Commerce City, CO, USA",2006-02-04 00:00:00+00:00
151,"Fayetteville, NC, USA",2014-07-09 00:00:00+00:00
152,"Greeley, CO, USA",2008-07-15 00:00:00+00:00
153,"Brooklyn, NY, USA",2013-08-11 00:00:00+00:00
154,"Augusta St, Ravensmead, Cape Town, 7504, South Africa",2016-01-26 00:00:00+00:00
155,"Los Angeles, CA, USA",2014-06-13 00:00:00+00:00
156,"Lawrenceville, GA, USA",2016-03-11 00:00:00+00:00
157,"Madison Cres, Beacon Valley, Cape Town, 7785, South Africa",2015-03-27 00:00:00+00:00
158,"Burnsville, MN, USA",2012-09-01 00:00:00+00:00
159,"Silver Lake, Los Angeles, CA, USA",2015-10-31 00:00:00+00:00
160,"Los Angeles, CA, USA",2013-04-26 00:00:00+00:00
161,"Pensacola, FL, USA",2016-02-08 00:00:00+00:00
162,"Houston, TX, USA",2014-07-04 00:00:00+00:00
163,"Colorado Springs, CO, USA",2015-12-11 00:00:00+00:00
164,"Long Beach, CA, USA",2012-07-20 00:00:00+00:00
165,"Colorado Springs, CO, USA",2015-01-01 00:00:00+00:00
166,"Chicago, IL, USA",2013-09-02 00:00:00+00:00
167,"Minneapolis, MN, USA",2015-07-25 00:00:00+00:00
168,"Greeley, CO, USA",2005-02-26 00:00:00+00:00
169,"Gage Park, Chicago, IL, USA",2016-02-05 00:00:00+00:00
170,"Willowbrook, Country Places, Cape Town, 7550, South Africa",2013-07-08 00:00:00+00:00
171,"W 104th St, New York, NY 10025, USA",2014-02-16 00:00:00+00:00
172,"East Hartford, CT, USA",2016-01-25 00:00:00+00:00
173,"Federal Heights, CO, USA",2016-01-29 00:00:00+00:00
174,"Draper, UT, USA",2015-01-15 00:00:00+00:00
175,"Unclear, Cape Town, 7525, South Africa",2014-10-20 00:00:00+00:00
176,"Aurora St, Cape Town, 7550, South Africa",2015-03-07 00:00:00+00:00
177,"Carrollton, TX, USA",2016-01-20 00:00:00+00:00
178,"Michigan - Martin, Detroit, MI 48210, USA",2015-06-26 00:00:00+00:00
179,"Indianapolis, IN, USA",2015-12-19 00:00:00+00:00
180,"Willowbrook, Country Places, Cape Town, 7550, South Africa",2004-10-23 00:00:00+00:00
181,"Tulsa, OK, USA",2015-08-03 00:00:00+00:00
182,"Germantown, TN, USA",2015-11-15 00:00:00+00:00
183,"East Chicago, IN, USA",2014-04-29 00:00:00+00:00
184,"San Antonio, TX, USA",2015-08-04 00:00:00+00:00
185,"Chicago, IL, USA",2016-01-13 00:00:00+00:00
186,"West Valley City, UT, USA",2013-10-02 00:00:00+00:00
187,"Greeley, CO, USA",2015-03-29 00:00:00+00:00
188,"Pittsburgh, PA, USA",2015-08-10 00:00:00+00:00
189,"Unclear, Cape Town, 7530, South Africa",2001-12-14 00:00:00+00:00
190,"Baldwin Park, CA, USA",2002-08-24 00:00:00+00:00
191,"Lowell, MA, USA",2015-08-02 00:00:00+00:00
192,"Milwaukee, WI, USA",2015-04-14 00:00:00+00:00
193,"Salinas, CA, USA",2015-11-17 00:00:00+00:00
194,"Trevose, Feasterville-Trevose, PA 19053, USA",2015-11-07 00:00:00+00:00
195,"Panorama City, Los Angeles, CA, USA",2000-06-21 00:00:00+00:00
196,"Rochester, MN, USA",2016-02-22 00:00:00+00:00
197,"Memphis, TN, USA",2015-11-17 00:00:00+00:00
198,"Chattanooga, TN, USA",2015-10-11 00:00:00+00:00
199,"Philadelphia, PA, USA",2015-11-23 00:00:00+00:00
200,"Unclear, Cape Town, 7530, South Africa",2016-03-31 00:00:00+00:00
201,"Ferguson St, Aurora, Cape Town, 7550, South Africa",2014-08-09 00:00:00+00:00
202,"Atlanta Rd, Dennemere, Cape Town, 7580, South Africa",2015-08-02 00:00:00+00:00
203,"Lafayette, LA, USA",2015-08-03 00:00:00+00:00
204,"Fort Myers, FL, USA",2015-11-10 00:00:00+00:00
205,"Greeley, CO, USA",2008-03-22 00:00:00+00:00
206,"Chicago Cl, Cape Town, 7784, South Africa",2015-05-31 00:00:00+00:00
207,"Louisville, KY, USA",2015-07-29 00:00:00+00:00
208,"Unclear, Cape Town, 7525, South Africa",2015-10-30 00:00:00+00:00
209,"Hartford, CT, USA",2016-01-31 00:00:00+00:00
210,"Las Vegas, NV, USA",2015-08-02 00:00:00+00:00
211,"Panorama City, Los Angeles, CA, USA",2010-03-17 00:00:00+00:00
212,"Fargo, ND, USA",2015-08-02 00:00:00+00:00
213,"Davenport, IA, USA",2016-01-23 00:00:00+00:00
214,"Senate Ave, University of The Western Cape, Cape Town, South Africa",2014-07-29 00:00:00+00:00
215,"Inglewood, CA, USA",2013-07-22 00:00:00+00:00
216,"Schaumburg, IL, USA",2015-08-02 00:00:00+00:00
217,"Pryor, MT, USA",2015-07-29 00:00:00+00:00
218,"South Bend, IN, USA",2015-07-25 00:00:00+00:00
219,"Sebring, FL, USA",2016-03-31 00:00:00+00:00
220,"Los Angeles Ave, South Lake Tahoe, CA 96150, USA",2013-05-10 00:00:00+00:00
221,"Compton, CA, USA",2016-02-09 00:00:00+00:00
222,"Washington, DC, USA",2015-07-28 00:00:00+00:00
223,"Houston, TX, USA",2016-02-14 00:00:00+00:00
224,"Milwaukee, WI, USA",2015-07-15 00:00:00+00:00
225,"Salt Lake City, UT, USA",2015-08-18 00:00:00+00:00
226,"Irondale, AL, USA",2016-01-30 00:00:00+00:00
227,"Greeley, CO, USA",2015-05-19 00:00:00+00:00
228,"Los Angeles, CA, USA",2009-04-02 00:00:00+00:00
229,"Sharon, PA, USA",2015-08-02 00:00:00+00:00
230,"Wichita, KS, USA",2015-10-26 00:00:00+00:00
231,"Van Nuys, Los Angeles, CA, USA",2011-04-24 00:00:00+00:00
232,"Washington, DC, USA",2016-01-07 00:00:00+00:00
233,"Watts, Los Angeles, CA, USA",2016-01-08 00:00:00+00:00
234,"Sioux Falls, SD, USA",2015-11-21 00:00:00+00:00
235,"Greeley, CO, USA",2016-02-05 00:00:00+00:00
236,"Fort Worth, TX, USA",2015-07-31 00:00:00+00:00
237,"Minneapolis, MN, USA",2014-04-29 00:00:00+00:00
238,"Lexington, KY, USA",2015-08-02 00:00:00+00:00
239,"Adams, CA 95461, USA",2003-03-11 00:00:00+00:00
240,"Inglewood, CA, USA",2003-07-06 00:00:00+00:00
241,"Unclear, Cape Town, 7525, South Africa",2015-01-09 00:00:00+00:00
242,"St. Louis, MO, USA",2012-11-12 00:00:00+00:00
243,"Albuquerque, NM, USA",2015-07-27 00:00:00+00:00
244,"Los Angeles, CA, USA",2007-02-05 00:00:00+00:00
245,"Los Angeles, CA, USA",2007-11-28 00:00:00+00:00
246,"Los Angeles, CA, USA",2015-08-03 00:00:00+00:00
247,"Ogden, UT, USA",2015-08-08 00:00:00+00:00
248,"Greeley, CO, USA",2016-03-28 00:00:00+00:00
249,"Willowbrook, Country Places, Cape Town, 7550, South Africa",2011-02-14 00:00:00+00:00
250,"Central Point, OR, USA",2003-02-01 00:00:00+00:00
251,"New Bedford, MA, USA",2015-08-09 00:00:00+00:00
252,"North Highlands, CA, USA",2015-05-06 00:00:00+00:00
253,"Inglewood, CA, USA",2013-10-08 00:00:00+00:00
254,"St. Louis, MO, USA",2013-11-19 00:00:00+00:00
255,"Conroe, TX, USA",2016-02-07 00:00:00+00:00
256,"Syracuse, NY, USA",2015-10-24 00:00:00+00:00
257,"Dillon, MT 59725, USA",2015-11-11 00:00:00+00:00
258,"River Rd, Brackenfell South, Cape Town, 7560, South Africa",2015-10-30 00:00:00+00:00
259,"Greeley, CO, USA",2013-04-18 00:00:00+00:00
260,"Oakland Rd, Eastridge, Cape Town, 7785, South Africa",2014-10-19 00:00:00+00:00
261,"Greeley, CO, USA",2012-11-16 00:00:00+00:00
262,"Chicago, IL, USA",2013-05-17 00:00:00+00:00
263,"Unclear, Cape Town, 7530, South Africa",2003-07-12 00:00:00+00:00
264,"Albuquerque, NM, USA",2015-10-20 00:00:00+00:00
265,"Silver Lake, Los Angeles, CA, USA",2007-05-06 00:00:00+00:00
266,"Colleyville, TX, USA",2015-01-17 00:00:00+00:00
267,"Dallas, TX, USA",2014-05-27 00:00:00+00:00
268,"Greeley, CO, USA",2015-07-16 00:00:00+00:00
269,"Richmond, VA, USA",2015-06-23 00:00:00+00:00
270,"Valley Center, KS, USA",2015-10-10 00:00:00+00:00
271,"Chicago Cl, Cape Town, 7784, South Africa",2015-12-02 00:00:00+00:00
272,"Albany St, Eindhoven, Cape Town, 7100, South Africa",2016-01-29 00:00:00+00:00
273,"Queens Ave, The Wines, Cape Town, 7784, South Africa",2015-05-02 00:00:00+00:00
274,"Shreveport, LA, USA",2015-08-03 00:00:00+00:00
275,"Chicago, IL, USA",2015-07-13 00:00:00+00:00
276,"Akron, OH, USA",2015-11-16 00:00:00+00:00
277,"Waynesville, NC 28786, USA",2015-08-18 00:00:00+00:00
278,"Michigan - Martin, Detroit, MI 48210, USA",2016-02-19 00:00:00+00:00
279,"Danville, IL, USA",2016-01-17 00:00:00+00:00
280,"Greeley, CO, USA",2001-11-01 00:00:00+00:00
281,"Fort Smith, AR, USA",2015-08-09 00:00:00+00:00
282,"Holmdel, NJ, USA",2015-08-03 00:00:00+00:00
283,"Brooklyn, NY, USA",2015-08-02 00:00:00+00:00
284,"Downey, CA, USA",2015-11-11 00:00:00+00:00
285,"Murray, KY 42071, USA",1942-07-14 00:00:00+00:00
286,"Inglewood, CA, USA",2009-06-10 00:00:00+00:00
287,"New York, NY, USA",2016-02-28 00:00:00+00:00
288,"Salinas, CA, USA",2016-02-11 00:00:00+00:00
289,"Santa Monica, CA, USA",2004-02-23 00:00:00+00:00
290,"Greeley, CO, USA",2014-05-29 00:00:00+00:00
291,"Menomonee Falls, WI 53051, USA",2014-04-02 00:00:00+00:00
292,"Hamburg, PA 19526, USA",2015-11-21 00:00:00+00:00
293,"Oak Ridge, TN, USA",2015-11-13 00:00:00+00:00
294,"Rosemead, CA, USA",2016-11-15 00:00:00+00:00
295,"Whitefish Bay, WI, USA",2015-07-14 00:00:00+00:00
296,"Chardon, OH 44024, USA",2012-02-27 00:00:00+00:00
297,"Columbus, OH, USA",2015-12-27 00:00:00+00:00
298,"St. Louis, MO, USA",2015-08-02 00:00:00+00:00
299,"Mt Healthy, OH 45231, USA",2016-01-10 00:00:00+00:00
300,"Charleston, SC, USA",2015-06-17 00:00:00+00:00
301,"Atlantic City, WY 82520, USA",2015-02-28 00:00:00+00:00
302,"Seneca, SC, USA",2015-07-26 00:00:00+00:00
303,"Greeley, CO, USA",2015-09-01 00:00:00+00:00
304,"Greeley, CO, USA",2003-01-11 00:00:00+00:00
305,"Greeley, KS 66033, USA",2016-02-28 00:00:00+00:00
306,"Denver, CO, USA",2015-11-22 00:00:00+00:00
307,"Price St, Morgenster, Cape Town, 7560, South Africa",2015-12-20 00:00:00+00:00
308,"Greeley, CO, USA",2004-12-27 00:00:00+00:00
309,"Colorado Springs, CO, USA",2013-07-12 00:00:00+00:00
310,"Columbia St, Eindhoven, Cape Town, 7100, South Africa",2015-07-28 00:00:00+00:00
311,"Springfield, IL, USA",2015-08-06 00:00:00+00:00
312,"Harbor City, Los Angeles, CA, USA",2003-05-04 00:00:00+00:00
313,"Taunton, MA, USA",2015-06-27 00:00:00+00:00
314,"Portland, OR, USA",2015-08-07 00:00:00+00:00
315,"Greeley, CO, USA",2006-03-19 00:00:00+00:00
316,"St. Louis, MO, USA",2015-10-06 00:00:00+00:00
317,"Los Angeles Times Costa Mesa Heliport, Costa Mesa, CA 92626, USA",2014-01-17 00:00:00+00:00
318,"Baltimore, MD, USA",2014-03-24 00:00:00+00:00
319,"Oakdale Rd, Bo Oakdale, Cape Town, 7530, South Africa",2016-01-28 00:00:00+00:00
320,"Far Rockaway, Queens, NY, USA",2016-01-27 00:00:00+00:00
321,"Lancaster, TX, USA",2015-11-20 00:00:00+00:00
322,"Medical Center Dr, Brighton, CO 80601, USA",2015-02-28 00:00:00+00:00
323,"Greeley, CO, USA",2002-03-23 00:00:00+00:00
324,"Gramercy Park, Los Angeles, CA 90018, USA",2012-07-07 00:00:00+00:00
325,"Dodge City, KS 67801, USA",2015-08-08 00:00:00+00:00
326,"Greeley, CO, USA",2000-12-23 00:00:00+00:00
327,"Long Beach, CA, USA",2014-02-10 00:00:00+00:00
328,"Houston, TX, USA",2015-12-04 00:00:00+00:00
329,"Greeley, CO, USA",2015-04-08 00:00:00+00:00
330,"Anderson, TX 77830, USA",2015-11-15 00:00:00+00:00
331,"Whittier, CA, USA",2003-04-04 00:00:00+00:00
332,"Spokane, WA, USA",2016-01-19 00:00:00+00:00
333,"Utica, NY, USA",2015-04-15 00:00:00+00:00
334,"St. Louis, MO, USA",2015-12-19 00:00:00+00:00
335,"Holladay, UT, USA",2016-01-17 00:00:00+00:00
336,"W 104th St, New York, NY 10025, USA",2015-08-01 00:00:00+00:00
337,"Lubbock, TX, USA",2016-04-01 00:00:00+00:00
338,"Marshfield, MA, USA",2015-09-09 00:00:00+00:00
339,"Newtown, CT, USA",2012-12-14 00:00:00+00:00
340,"Unclear, Cape Town, 7525, South Africa",2015-02-28 00:00:00+00:00
341,"Dallas, TX, USA",2015-12-16 00:00:00+00:00
342,"Unclear, Cape Town, 7550, South Africa",2007-10-09 00:00:00+00:00
343,"Soap Lake, WA 98851, USA",2014-12-28 00:00:00+00:00
344,"Greeley, CO, USA",2010-12-08 00:00:00+00:00
345,"Richmond, CA, USA",2016-02-14 00:00:00+00:00
346,"Inglewood, CA, USA",2001-11-26 00:00:00+00:00
347,"New York, NY, USA",2014-10-19 00:00:00+00:00
348,"Indianapolis, IN, USA",2015-01-15 00:00:00+00:00
349,"S Milwaukee Ave, Lake Villa, IL 60046, USA",2015-10-16 00:00:00+00:00
350,"Compton, CA, USA",2012-10-25 00:00:00+00:00
351,"Greeley, CO, USA",2015-05-31 00:00:00+00:00
352,"Pico Rivera, CA, USA",2001-03-19 00:00:00+00:00
353,"Greeley, CO, USA",2005-04-06 00:00:00+00:00
354,"Freehold, NJ 07728, USA",2014-04-15 00:00:00+00:00
355,"Fort Worth Rd, The Hague, Cape Town, 7100, South Africa",2015-11-23 00:00:00+00:00
356,"Baton Rouge, LA, USA",2015-07-29 00:00:00+00:00
357,"Holmdel, NJ, USA",2015-07-06 00:00:00+00:00
358,"Butte, MT, USA",2015-10-27 00:00:00+00:00
359,"Anchorage, AK, USA",2016-03-29 00:00:00+00:00
360,"Darbyville, OH, USA",2015-08-03 00:00:00+00:00
361,"Colorado, Colorado, Tiquisio, Bolívar, Colombia",2016-01-16 00:00:00+00:00
362,"Salisbury, MD, USA",2014-12-29 00:00:00+00:00
363,"Atlantic City, NJ, USA",2014-12-27 00:00:00+00:00
364,"Palmdale, CA, USA",2005-05-14 00:00:00+00:00
365,"Unclear, Cape Town, 7525, South Africa",2016-02-23 00:00:00+00:00
366,"Fridley, MN, USA",2015-12-13 00:00:00+00:00
367,"Dallas, TX, USA",2014-04-08 00:00:00+00:00
368,"Sun Valley, Los Angeles, CA, USA",2006-10-15 00:00:00+00:00
369,"Jacksonville, FL, USA",2015-10-13 00:00:00+00:00
370,"Los Angeles St, Baldwin Park, CA 91706, USA",2001-04-22 00:00:00+00:00
371,"Modesto, CA, USA",2016-02-14 00:00:00+00:00
372,"Toronto, PE C0A, Canada",2015-08-04 00:00:00+00:00
373,"Boston, MA, USA",2015-08-02 00:00:00+00:00
374,"Hyde Park Blvd, Los Angeles, CA, USA",2010-02-08 00:00:00+00:00
375,"Tacoma, WA, USA",2012-03-14 00:00:00+00:00
376,"W 104th St, New York, NY 10025, USA",2016-03-31 00:00:00+00:00
377,"Los Angeles, CA, USA",2000-12-03 00:00:00+00:00
378,"Louisiana Ave, Los Angeles, CA, USA",2015-11-26 00:00:00+00:00
379,"Koreatown, Los Angeles, CA, USA",2003-03-07 00:00:00+00:00
380,"Immokalee, FL 34142, USA",2014-12-24 00:00:00+00:00
381,"Inglewood, CA, USA",2004-02-03 00:00:00+00:00
382,"Greeley, CO, USA",2000-11-17 00:00:00+00:00
383,"Hazleton, PA, USA",2016-02-02 00:00:00+00:00
384,"Sparta, TN 38583, USA",2015-12-26 00:00:00+00:00
385,"Brooklyn, NY, USA",2016-02-13 00:00:00+00:00
386,"Z K Matthews Cres, Mandela Park, Cape Town, 7784, South Africa",2015-07-22 00:00:00+00:00
387,"Sandusky, OH 44870, USA",2014-05-17 00:00:00+00:00
388,"Overland Park, KS, USA",2015-07-06 00:00:00+00:00
389,"Mt Auburn, Camden, OH 45311, USA",2015-07-19 00:00:00+00:00
390,"New York, NY, USA",2014-04-02 00:00:00+00:00
391,"California, ON K0A, Canada",2016-01-02 00:00:00+00:00
392,"Shreveport, LA, USA",2015-11-18 00:00:00+00:00
393,"Richmond, KY, USA",2015-11-04 00:00:00+00:00
394,"Greeley, CO, USA",2006-04-20 00:00:00+00:00
395,"Whitehall, OH, USA",2015-09-19 00:00:00+00:00
396,"Toledo, OH, USA",2016-02-11 00:00:00+00:00
397,"Randallstown, MD, USA",2015-11-20 00:00:00+00:00
398,"Miami, FL, USA",2016-01-23 00:00:00+00:00
399,"Mint St, Silversands, Cape Town, 7580, South Africa",2015-07-21 00:00:00+00:00
400,"Greeley, CO, USA",2000-06-08 00:00:00+00:00
401,"Michigan - Martin, Detroit, MI 48210, USA",2015-11-24 00:00:00+00:00
402,"New Bedford, MA, USA",2015-11-05 00:00:00+00:00
403,"Lake Balboa, Los Angeles, CA, USA",2002-05-10 00:00:00+00:00
404,"Hawthorne, CA, USA",2007-08-21 00:00:00+00:00
405,"Elizabethtown, KY, USA",2015-07-28 00:00:00+00:00
