id_event,clock_time,details,number_of_shots_fired,time_day,type_of_gun
180,,,,,
181,2:30 a.m,1000 block of North Irvington Avenue,10 gun shell casings ,,
182,7 p.m,School House Lane,,,
183,9 p.m, La Hoya convenience store at 4802 Drummond St.,"shot the hostage, then shot the clerk through the glass",,
184,2:45 a.m,near North Side bar,several shots,early Monday morning,
185,12:55 a.m. ,4800 block of South Laflin Street,,,
186,4 p.m,,,afternoon ,
187,1:30 p.m,D\u00e9j\u00e0 vu Showgirls on West Lane,,afternoon,4 different weapons
188,10:45 p.m.,,,,
189,,,,,
190,,,,,
191,2:51 a.m, 273 Barker Ave.,once,"a.m.,",
192,11:00 p.m,a home near 67th and Capitol Drive,13 ,,
193,8:30 p.m,1200 block of Granada Avenue,multiple,night,semi-auto handgun 
194,3 p.m,Knights Inn motel,,,
195,,,,,
196, 2:30 a.m,intersection of 37th Street NW and 18th Avenue NW,,morning,
197,1 a.m,,,,
198,,West 38th Street.,,mid-day,
199,,I-676,,morning,
200,,,,,
201,,,,,
202, 3 a.m.,Quad on Spring Street,,,
203,4:10 p.m,Sunnyside Lane,,,
204,,City of Palms Park on Edison Avenue,,night ,
205,,,,,
206,3:45 p.m,,,afternoon,
207,7 p.m,near the intersection of Camp and Clay streets,multiple times,,
208,10:15 p.m,,201510,night,
209,,Vevo Lounge Bar & Grill in Hartford's South Meadows neighborhood,11 ,,
210,10:20 p.m.,4600 block of West Twain Avenue,multiple,night ,
211, 7:15 p.m,14200 block of Community Street,several,,
212,10:30,1600 block of 15th Avenue East in West Fargo, seven rounds, night, pistol
213,3:00 a.m.,Locust and Washington Streets,shots fired,morning,
214,2:30,2:30 p.m,3 shots ,29th,caliber pistol
215,shortly before 1:30 p.m.,"3700 block of West 106th Street, near Doty Avenue",,afternoon,
216,9:37 PM,,several ,,
217,10,Pryor Gap Road,,a.m.,22-caliber rifle
218,,Deschutes County,,,
219,,State Road 17 North,,,9mm pistol
220,11:30 p.m,15200 block of Saticoy Street in Van Nuys,,,
221,,,,,
222,,National Mall,a,afternoon,
223,,US-59 near Hillcroft and Chimeny Rock,,morning,
224,shortly after 5:00 p.m,near N. 15th Street and Finn Place ,10 to 15 shots,,
225,just before 7 p.m.,Ivy Circle and Riverside Drive,,evening,
226,, the 2000 block of Monroe Drive,,afternoon, pistol
227,,Tobacco and Beverage Express,,afternoon,
228,,,,,
229,6 p.m,Quinby Street and Spearman Avenue,Multiple,,
230,,southeast Wichita,,night,
231,11 p.m,6500 block of Sepulveda Boulevard,,,
232,12:15 p.m.,2400 block of Martin Luther King Boulevard SE,,afternoon,
233,4 p.m. ,2500 block of 111th Street, several times,,
234, 4:30 a.m, Law Enforcement Center, more gunshots,,.40 caliber handgun
235,,,,,
236,,downtown,,early,
237,12:53 p.m.,8th Street and Park Avenue,,,
238,,Nancy Lane in Lexington,, Sunday afternoon,
239,,,after being shot,,
240,,,,,
241,,,,,
242,,the 1300 block of Temple in the Hamilton Heights neighborhood,several ,,
243,3 a.m.,Coors Boulevard and Montano Road,several,morning,
244,1:42 a.m,,,,
245,,,,,
246,9:20,Hawaiian Gardens,gunshot ,a.m. ,
247,10:40 a.m.,,several ,,pistol
248,,,,,
249,8:45 p.m,,,,
250,,,,,
251,1:37 a.m.,intersection of Acushnet Avenue and Blackmer Street ,,overnight ,
252,11:30 p.m,outside a home in the 6800 block of Harlequin Way,shot several times,,
253,12:51 p.m,,,,
254,,,,overnight,
255,11:30am ,the Walmart off Highway 105 near Walden Road in Conroe,,,
256,11 a.m,South Townsend Street,multiple times,morning,
257,7 p.m.,Interstate 15 near Barrett Park ,,night,a rifle
258,10:20 p.m,,,,
259,,,,,
260,1:20 a.m.," inside Club Anton, 428 Third St., just east of Broadway.",,"morning, ",
261,2:15 p.m,,,,
262,11:25 p.m,Roosevelt Road and Kolin,,night,AK-47-style gun or one of two Tec-9 machine pistols
263,,,,,
264,,I-40,,afternoon,
265,11:12 p.m.,406 N. Bixel St. in the Westlake area,,,
266,,home on Douglas Avenue,The bullet , just before midnight,handgun 
267,11:15 p.m,200 block of Creek Cove Road ,seven or eight shots,late Tuesday,\u201csounded like machine guns\u201d
268,,,,,
269,1 a.m,3500 block of,multiple,a.m.,
270,4 p.m,,,,
271,12:35 a.m,9100 block of South Baltimore,,early,
272,2:20 a.m.,near Dana and New Scotland Avenue,,,
273,,,three spent rounds ,,Taurus Model 85 5-shot revolver
274,,3600 block of Milton St., hailstorm of bullets,,
275,,,,,
276,,Centerfold Gentleman\u2019s Club,,midnight,
277,shortly after 3 p.m.,Maple Grove Baptist Church off Stamey Cove Road,,afternoon,
278,,16000 block of Mark Twain St.,,afternoon,
279,,,,,
280,,,,,
281,7:30 p.m.,wooded area,,p.m. Wednesday,20-guage shotgun
282,,outside the PNC Bank Arts Center,,night,
283,,house party,,morning,
284,11 p.m.,,,,
285,,at a home,,,
286,1:20 a.m,,,,
287,,,,,
288,9 p.m,,,,
289,,,,,
290,,,,,
291,9 a.m,the parking lot of Bob Lanier Enterprises,,"Thursday morning,",handguns
292,3 p.m.,Hawk Mountain Sanctuary,,,
293,,Fisk Avenue and South Dillard Avenue,,,
294,6 p.m,2400 block of Earle Avenue,one ,,
295,6:00 p.m.,near the intersection of Kent Avenue and Lancaster Avenue,three,night ,
296,"7:35,",,10 more rounds,,
297,11 a.m,2000 block of Maryland Avenue,,,
298,11:30 a.m. ,5900 block of Era,,,
299,,Ameristop on Compton Road,,,
300,,Emanuel African Methodist Episcopal Church,,,
301,, Atlantic City area,a round, afternoon,40 caliber handgun
302,8:20 p.m, Hardee's parking lot,shot twice,,
303,,,,,
304,,,,,
305,5:10 a.m,North Colorado Medical Center,,morning,
306,10:30 p.m.,305 S. Alcott St.,33 bullets,,M-4 rifles
307,7:45 p.m.,McPherson near West 8th,,night,
308,,,,,
309,1:30 a.m., the 7400 block of Woody Creek Drive,,,
310,,outside his home on Beaufort Street in the Earlewood neighborhood,,,
311,3:30 p.m,800 block of South 23rd ,,afternoon,
312,,,,,
313,5:44 p.m.,Weir Street ,,,
314, 11:52 p.m,Q Center,,,
315,,,,,
316,,The truck operator was trying to tow a man\u2019s car when the man began shooting at him.,, 2 a.m.,
317, 11:30 p.m,South Santa Fe Avenue and East Sixth Street,,,
318,10:30 p.m.,3800 block of 8th St. in Brooklyn,,night,
319, 8 a.m,2700 block of Granite Avenue ,,morning ,
320,10:59 a.m,333 Beach 32nd Street,,,
321,8 a.m.,107 Magnolia Lane ,, morning,
322, 7:20 a.m.,26th Avenue,,Thursday morning,
323,,,,,
324,,,,,
325,,,multiple,,
326,,,,,
327,1:50 p.m,E. Artesia Boulevard and Myrtle Avenue,,p.m,
328,11:10pm,9500 block of Jensen,,night,
329,,,,,
330,1:15 p.m,,,morning,
331,,,,,
332,,near the Palomino event center located at Lyons and Lidgerwood in North Spokane,,morning,
333,,Clinton Place,a shot,,shotgun
334,1:45am,along eastbound I-70 near Union,,,
335,10 a.m.,,,,
336,,Queens,three,,Taurus Model 85
337,9:30 p.m.,Crosbyton,,,
338,,190 Damons Point Road,,,
339,,Sandy Hook Elementary School,, morning,
340, 5:10 a.m,, a gunshot wound,,
341,,Campground School Road,,,
342,,,,,
343,12:30,St. Andrews and Road 20 NW,three,afternoon,
344,,,,,
345,2:06 a.m,Twin Peaks neighborhood,,,
346,,,,,
347, 1:20 a.m," inside Club Anton, 428 Third St., just east of Broadway",, morning,
348,10:20 p.m,East 39th Street and North Temple Avenue,shot in the leg,night ,
349,7 p.m.,Glendale and Appleton Avenues ,,evening,
350,,area of Willowbrook Avenue and Stockwell Street in unincorporated Willowbrook,,evening,
351,,,,,
352,,,,,
353,,,,,
354,10:32 a.m.,18 Ford Avenue,,morning,
355,,South University Drive near I-30,,overnight,
356, 7:30 p.m,apartment complex ,,night,
357,,PNC Bank Arts Center,,night,
358,,"on Fish Creek Road, south of Highway 2",,Tuesday night ,12 gauge shotgun and a 7mm rifle
359,, 600 block of west 32nd Avenue,, evening,
360,,near the intersection of Main Street and Crystal Avenue,,,
361,12:30 a.m,,,evening,
362,11:30 a.m.,corner of Anne and Baker Streets in Salisbury,six gun shots,a.m.,
363,,sitting in the drivers seat of the vehicle,a round,afternoon,.40 caliber handgun
364,,,,,
365,10:45pm,Walmer Street,,night,
366,just before 5:30 p. m.,Target store,A shot,,
367,5:40 p.m.,"the 2500 block of Western Park Drive, near Illinois Avenue and Cockrell Hill Road",,evening,
368,,Los Angeles ,,,
369,5:20 a.m,Jacksonville\u2019s Washington Heights Apartments,,a.m,
370,,Lynwood,,,
371,5:30 p.m, Prescott Road, multiple,,
372,3 a.m.,outside the Muzik nightclub ,,,
373, 12:40 p.m., Academy Road ,,mid-day,
374,,,,,
375,,convenience store,,,pistol
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,outside the Crestview Apartments,,,
381,,,,,
382,,,,,
383,2:39 a.m.,North Wyoming Street and Diamond Avenue,,morning ,AK-47
384,11:10 p.m.,217 North Spring Street,shot twice,night,.38 caliber pistol
385, 10:40 p.m,1165 East 54 St.,,p.m,
386,,apartment ,multiple,morning,
387,4 a.m.,DJ\u2019s Sports Bar,,early ,
388,6:30 p.m.,,,,
389,,,,,
390, 5 p.m,front of a LaGuardia Houses public housing development building at 300 Cherry S,,afternoon,
391,,1200 block of West G Street,,,
392,7:30 p.m.,2700 block of Grassmere Street,multiple,evening,
393,,,,,handgun
394,,,,,
395,4:30 ,4500 block of San Jose Lane,,a.m,
396,,Forest and Oakwood Avenue in central Toledo,,,
397,,8000 block of Liberty Road,,night,
398,,home at 10372 S.W. 116th Street,several,early Saturday morning,
399,,Kensington,,,pellet gun
400,,,,,
401,,Clippert Street,,night,
402,,,,,
403,,,,,
404,7:14 p.m,13320 S. Doty Ave.,,,
405,1 a.m.,"on Washington Street, not far from Dixie Hwy.",,,
406,8:30 p.m ET,Grand Theatre 16,,night ,handgun
407,,,,evening,
408,9:30 p.m,Lincoln Street at Goldthwaite Road ,,,
409,,Bank of the Ozarks on Gastonia Highway,,,.32 Long revolver
410,,,several shots,,
411,7:30 p.m,10100 block of 256th Street,,Friday night,
412, 8:10 a.m.,800 block of 50th Place,,,
413,,,,,
414,,"Speedway Gas station, 3605 W. Broad St.",,evening,
415,6:30 p.m. ,south Fort Worth ,,,
416,9:30 p.m,,,,
417,,south of downtown,,,
418,,65th and Sheridan Road,,,
419,9:00pm,,,,
420,,4762 Highway 58,,,
421,,,,night,
422,3:30 a.m,,,,
423,8 p.m,parking lot near the Harbor Rockwall shopping and dining complex on the eastern shore of Lake Ray Hubbard,,night,
424,9:45 p.m., South Los Angeles,,,
425,,,,,
426,,Christian Fellowship Church,,,a pellet gun that looked like a real handgun
427,8:00 p.m,,,,
428,,,,,
429,,near 50th and Townsend,,2:00 p.m,
430,,,,,
431,11:45 p.m,Barron Russell Road,single ,night,
432,,3415 N. O\u2019Henry Blvd,,Saturday night,
433,10:26 p.m.,Monument Park on Summit Avenue,several times, night, semi-automatic handgun
434,7:55 p.m,,,,
435,,,,morning,
436,10 p.m.,"Thames River Apartments, on Crystal Avenue",,night,
437,2 a.m,sports bar and dance club,,,
438,,,,,
439,10 a.m, Exxon station in the 1500 block of Bessemer Road. ,,,
440,,"Club Rayne, a local strip club",,before dawn,
441,,,,,
442,,,,,
443,two p.m,Kephawn Pawnshop at the Commercial Center in Market Square,,,
444,4:56 p.m. ,,,evening,
445,,Mallgate Apartments,multiple times ,,
446,10:30 p.m.,1841 19th St. ,multiple,late Monday,
447,,"827 West 12th St., Apt. C",,,
448,,,,,
449,7:30 a.m,,,morning,
450,8:00 A.M,NEAR SOUTHWEST 74TH AND 10,,,
451,,,,night,
452,5:30 p.m.,"One Stop Smoke Shop at 4645 South, 4000 West. ",single bullet wound,,rifle or handgun
453,,,,,
454, 9:06,,,p.m,gun
455,, Benkard Avenue.,,6:56 PM,
456,,,,,
457,3:31 a.m,20000 block of Catalina Street,,,
458,9 p.m,,,night,
459,,,,,
460, 1:40 p.m,1100 block of East 107th Street,,,
461,7:45 p.,near West 8th in East Price Hill,,night,
462,,,,,
463,6:18 p.m,,,,
464,,Jalang Kemang Utara VII,,,
465,1:30 a.m,SW Plass Ave. and SW 22nd Park,,early Thursday morning,
466,,,,,
467,,inside his home,Several casings,,handgun
468, 8:30,,, p.m,
469,10:30 p.m, Interstate 70,nine rounds i, night ,
470,12:26 a.m,,,,
471,,Otis Avenue and Walnut Street,,,
472,,inside a car,,,
473,,,,,
474,2:53 a.m.,Belmont Cragin neighborhood on the Northwest Side. ,multiple,early ,
475,6:00 p.m,at a Popeye\u2019s restaurant,,,
476,,,,,
477,11 a.m,Banner and Jennson Road,shooting exchange,morning,a gun
478,7:20 a.m,,,,
479,8:15 p.m.,E. North St. at Albert St,five,,revolver
480,m,,,,
481,12:30 p.m,"Church Hill north, at 26th and R Streets",,afternoon,
482,6:25,the 1900 block of 62nd Avenue ,,night,
483,,Superior Coin & Currency on Belknap Street.,once,night ,
484,,,,,
485, 3 p.m, Citadel Apartments at 3616 Galley Road,,afternoon,
486,,7800 block of East Devonshire Rd.,multiple gunshot wounds,early,
487,2:25 a.m. ,,,,
488, 2 a.m,,,,
489,4 a.m.,1000 block of Saint Mary Street,,morning,
490,,mobile home ,,evening,shotgun
491,,area of South and West Streets,, early Sunday morning ,
492,,,,,
493,,,, morning,
494,4 p.m,3648 Tomlin Drive,once,,AR-15 rifle
495,,,,,
496,,,,morning,
497,,,,,
498,10 p.m,Montavilla neighborhood,36 rounds,night,
499,,,,,
500,12:30 a.m,,,,
501,,Petro Food Mart,,night,
502,,,,,
503,,,,,
504,8:02 p.m,intersection of Blount Place and Atlantic Avenue in Lynwood,,,
505,,,,earlier this week.,
506,, house on Brazil Street ,, night,
507,10:40 a.m., 2600 block of Madison Avenue,several,morning,
508,9 a.m,Old Hunt Club Road,,morning , handgun 
509,,Main Street,,afternoon,
510, 3:30 p.m.,just off Heacock Street south of Sunnymead Ranch Parkway,,,
511,,,,,.38-caliber revolver
512, 2 a.m,,,,
513,5:10 a.m.,1100 block of 26th Avenue,two,morning,
514,,Sky Blue Water Trail, twice,night,
515,,,,,
516,,,,,
517,7 PM,900 Block of 10th Street,a shot,night,
518,,,,,
519,,,,,
520,9:30 a.m.,Stop N\u2019 Go on Table Rock Road ,,,
521,9:45 p.m,1100 block of 13th Street , twice,night,
522,,14800 block of Dartmoor Avenue,,,
523,,,,,
524,,,,morning,
525,2:30 p.m.,I-43 northbound between Hampton Avenue and Silver Spring Drive,,,
526,,,,,
527,midnight,1100 block of East Seminary Drive,,night,
528,1 p.m,,,,
529,12:45 a.m.,in the parking lot of the apartment complex on East 1st Avenue,,,
530,,2300 block of Edenborn Avenue,,evening,
531,,Clinton Township,,,hunting rifle
532,11:35 p.m,,,,
533,5:15 a.m.,on the Grand Central Parkway near La Guardia Airport,a single sho,,
534,9:25 a.m,,,,
535,11 a.m.,Umpqua Community College,,,
536,,,,,
537,5:45 ,800 block of Forrest Drive ,,afternoon,
538,,,,,
539,,playground, twice,,
540,,sitting in the drivers seat of the vehicle, a round,afternoon, .40 caliber handgun
541,,home on 4th Street,the bullet ,morning,
542,around 9:30 a.m,Sandy Hook Elementary School, it was 100 rounds,9:30 a.m,"three weapons from the scene: a semi-automatic .223 Bushmaster rifle, a Glock and a Sig Sauer"
543,,,,,
544,,,,,
545, 11 a.m,Brigham and Women\u2019s Hospital,,a.m,
546,6 p.m.,,,,
547,around 11 a.m.,Inland Regional Center,65 to 75 rounds,,two .223-caliber rifles and two pistols
548,5:10 a.m, 1100 block of 26th Avenue,two , a.m,
549,,,,,
550,10 p.m,Western Glen Apartments in the 2600 block at Anaconda Drive around,,night,
551,2:45 p.m.,Andrew Avenue and North Parkside Drive,,afternoon,
552,10:32 p.m,Inglewood,,,
553,,,,,
554,11:30 p.m,home southwest of Chicago ,numerous,,
555,,,,,
556,,,,,
557,,,,,
558,12:30 a.m, Pacific Highway S. and S. 170th St.,,,
559,,,,,
560,,61st Street near T Street,,evening,semi-automatic BB gun
561,,,,,
562,2 a.m. ,Adiktion Night Club ,,,
563,7:07 p.m.,,,,
564, 6:11 p.m. ,East Charleston Boulevard,,,
565,,,,,
566,,,,,
567,12:30 ,Quintas Avenue,,p.m,handguns 
568,,,,,
569,,,,,
570,,,,,
571,2:30 p.m,,3,,22 caliber pistol
572,5:10 a.m,1100 block of 26th Avenue, two shots, morning,
573,,,,,
574,7:20 p.m.,near 56th and Grover,,,
575,,,,,
576,,,,,
577,,the corner of Monument and Medford streets,,night,
578,,,,,
579,,,,,
580,7:20 p.m,Deluxe Inn at 10301 E. U.S. Highway 40,,evening,
581,5:35,600 block of Phillips Street,"multiple times, including one shot to the head",evening,
582,5:57 p.m.,Shell gas station on Watkins Drive,,,
583,,,,,
584,,,,,
585,,,,,
586,4 a.m.,Ravenna, three ,,
587,11:15 a.m., apartment complex in the 3500 block of Quail Creek Drive,,,
588,,near Hardwick Street and Fanwood Avenue,,morning,handgun
589,,,,,
590,,,,,
591, 2 p.m,33rd and Lincoln,,,
592,3 a.m.,an apartment on 17th Street north of O street,,morning,
593,3 p.m.,2800-block of North Grand,,afternoon,
594,just after 3 a.m.,600 block of East Eighth Street,a shot,morning,
595, 1 p.m.,100 block of Tyler Street, five ,,
596,,400 block of Brittany Way,,,
597,,300 block of East 107th Street,,,
598,,,,,
599,,,,,
600,11:30 p.m.,,,night,
601, 5:35,600 block of Phillips Street,multiple ,evening,
602,2:30 p.m,Reservoir and Trumbull avenues,3 shots, p.m, 22 caliber pistol
603,2 a.m,"Southside Boulevard, near Eisenhower Road",,,
604,,46th and North Avenue,,,
605,,,,,
606, 5:00 p.m,,,,
607,7:20 p.m,1000 block of North Parton Street,,evening,
608,,,,,
609,,,,,
610,5:49 p.m.,Watkins Drive,,evening,
611, 5:47 p.m.,9700 block of Telfair Avenue in Pacoima,,,
612,12:45 a.m, 2398 S. Avenue B,,,
613,,,,,
614,10:30 p.m,south Wichita,multiple gunshot wounds,,
615,,,,,
616,12 p.m,near N. 24th and Hopkins Street,,,
617,8:40 p.m.,34th and Auer,,,
618,,99 Cents Only store at Victory Boulevard and Buena Vista Street,,morning,
619,,,,,
620,7:17,Sinclair store at 48 W 3300 S,,night,
621,9:30 p.m. ,Hume and Leahy Streets,,,
622,1 a.m.,4900 block of Five Points Road,fired a gun,,
623,,,,,
624,,,,,
625,3:30 p.m.,1114 S.E. 93rd,,afternoon,
626,,area of Anne Street and Baker Street,,,
627,6:25 p.m,500 block of Emmet Williams Way,,,
628,,,,,
629, 8 p.m, intersection of N. 61st and Bobolink Avenue,, evening,
630,,,,,
631,2:53 a.m, Belmont Cragin neighborhood,,,
632,4:25 ,300 block of South Brown Street,,morning,
633,10:07 p.m,,,,
634, 6:45 p.m,,,,
635,,,,,
636,8 p.m,114 E. McDowell Road,,night,
637,,,a gunshot wound,pretty much all day,
638,around 3 a.m,"near 62nd St. and 15th Ave. The shooting took place one block away from where two people were shot on Monday, November 2nd.",,early Saturday morning,
639,10:20 p.m,behind Sam Tasby Middle School ,,,
640,,400 block of N. Francis,,,
641,7 a.m.,1960 S. Chelton Road,,,
642,, intersection of Summit Avenue and N. 25th Street,,night,
643,10:41 p.m,,,,
644,4:10 p.m.,,,,
645,,south of Heavener,once,,SKS rifle
646,4 p.m,parking lot of a Staples ,,,
647,7:30 a.m,,,,
648,,,,,
649,,,,,
650,about 1:20 a.m.,"inside Club Anton, 428 Third St.",, morning,
651,,"Winner Road and Wallace Avenue, just east of Interstate 435",,,
652, 2:45 a.m.,1600 block of East Kingsley Avenue,multiple ,,
653,2:30 p.m, intersection of S.W. 11th and Jewell.,,afternoon,
654,,,,,shotgun 
655,10 p.m.,2100 block of White Avenue,,night,handguns
656,,man's apartment,once,evening,Glock pistol
657,,,,,
658,,Regency Inn and Suites Hotel on Hampton Street,,morning,.22 caliber revolver
659,,,,,
660,,Curtis Culwell Center,,,
661,,,,,
662,,,,,
663,7 p.m.,5700 block of East 96th Place,,evening,
664,1 a.m.,,multiple gunshots,,
665,,,,,
666,8 p.m,4000 block of Dyer ,,Thursday night ,
667, 5:52 a.m,,,,
668,,,"three times, and MacNamara fired once",,
669,5:50 a.m,,,,
